"year","round","date","time","region","venue","hteam","ateam","hscore","ascore"
2022,11,2022-05-28,"16:35:00","VIC","M.C.G.","Melbourne","Fremantle",56,94
2022,11,2022-05-29,"16:10:00","SA","Adelaide Oval","Port Adelaide","Essendon",66,50
2022,11,2022-05-29,"13:10:00","VIC","Docklands","St Kilda","North Melbourne",103,50
2022,11,2022-05-27,"19:50:00","NSW","S.C.G.","Sydney","Richmond",106,100
2022,11,2022-05-28,"17:30:00","WA","Perth Stadium","West Coast","Western Bulldogs",60,161
2022,12,2022-06-04,"13:15:00","SA","Adelaide Oval","Adelaide","West Coast",88,57
2022,12,2022-06-05,"15:20:00","WA","Perth Stadium","Fremantle","Brisbane Lions",99,85
2022,12,2022-06-04,"16:05:00","NT","Marrara Oval","Gold Coast","North Melbourne",109,47
2022,12,2022-06-05,"14:10:00","VIC","M.C.G.","Hawthorn","Collingwood",68,72
2022,12,2022-06-04,"19:25:00","VIC","M.C.G.","Melbourne","Sydney",61,73
2022,12,2022-06-03,"19:50:00","VIC","Docklands","Western Bulldogs","Geelong",70,83
2022,13,2022-06-11,"19:25:00","QLD","Gabba","Brisbane Lions","St Kilda",78,57
2022,13,2022-06-13,"15:20:00","VIC","M.C.G.","Collingwood","Melbourne",82,56
2022,13,2022-06-10,"19:50:00","VIC","M.C.G.","Essendon","Carlton",54,80
2022,13,2022-06-11,"14:10:00","WA","Perth Stadium","Fremantle","Hawthorn",95,82
2022,13,2022-06-12,"15:20:00","VIC","Docklands","North Melbourne","Greater Western Sydney",53,102
2022,13,2022-06-09,"19:20:00","VIC","M.C.G.","Richmond","Port Adelaide",77,65
2022,14,2022-06-19,"15:20:00","QLD","Carrara","Gold Coast","Adelaide",116,73
2022,14,2022-06-18,"19:25:00","NSW","Sydney Showground","Greater Western Sydney","Western Bulldogs",105,125
2022,14,2022-06-18,"13:15:00","SA","Adelaide Oval","Port Adelaide","Sydney",82,59
2022,14,2022-06-16,"19:20:00","VIC","M.C.G.","Richmond","Carlton",81,66
2022,14,2022-06-17,"19:50:00","VIC","Docklands","St Kilda","Essendon",72,107
2022,14,2022-06-18,"14:35:00","WA","Perth Stadium","West Coast","Geelong",63,81
2022,15,2022-06-25,"13:45:00","VIC","Docklands","Carlton","Fremantle",81,50
2022,15,2022-06-26,"15:20:00","VIC","M.C.G.","Collingwood","Greater Western Sydney",88,77
2022,15,2022-06-25,"16:35:00","VIC","M.C.G.","Geelong","Richmond",89,86
