"year","round","date","time","region","venue","hteam","ateam","hscore","ascore","is_grand_final","is_final","home_win","hdiff"
2013,3,2013-04-13,"19:40:00","QLD","Carrara","Gold Coast","Brisbane Lions",92,94,0,0,0,-2
2013,3,2013-04-13,"16:40:00","ACT","UNSW Canberra Oval","Greater Western Sydney","St Kilda",68,140,0,0,0,-72
2013,3,2013-04-13,"14:10:00","VIC","M.C.G.","Melbourne","West Coast",83,177,0,0,0,-94
2013,3,2013-04-13,"13:45:00","TAS","Bellerive Oval","North Melbourne","Sydney",92,131,0,0,0,-39
2013,3,2013-04-14,"16:10:00","SA","Football Park","Port Adelaide","Adelaide",118,109,0,0,1,9
2013,3,2013-04-14,"13:10:00","VIC","Docklands","Richmond","Western Bulldogs",135,68,0,0,1,67
2013,4,2013-04-21,"14:45:00","SA","Football Park","Adelaide","Western Bulldogs",80,28,0,0,1,52
2013,4,2013-04-20,"19:40:00","QLD","Carrara","Gold Coast","Port Adelaide",66,104,0,0,0,-38
2013,4,2013-04-20,"13:45:00","TAS","University of Tasmania Stadium","Hawthorn","Fremantle",118,76,0,0,1,42
2013,4,2013-04-21,"13:10:00","VIC","M.C.G.","Melbourne","Greater Western Sydney",144,103,0,0,1,41
2013,4,2013-04-21,"16:40:00","VIC","Docklands","North Melbourne","Brisbane Lions",125,62,0,0,1,63
2013,4,2013-04-20,"14:10:00","VIC","M.C.G.","Richmond","Collingwood",79,113,0,0,0,-34
2013,4,2013-04-20,"16:40:00","VIC","Docklands","St Kilda","Essendon",91,128,0,0,0,-37
2013,4,2013-04-19,"19:50:00","NSW","S.C.G.","Sydney","Geelong",103,124,0,0,0,-21
2013,4,2013-04-20,"17:40:00","WA","Subiaco","West Coast","Carlton",65,89,0,0,0,-24
2013,5,2013-04-28,"15:15:00","QLD","Gabba","Brisbane Lions","Melbourne",122,94,0,0,1,28
2013,5,2013-04-27,"16:40:00","VIC","M.C.G.","Carlton","Adelaide",115,83,0,0,1,32
2013,5,2013-04-25,"14:40:00","VIC","M.C.G.","Essendon","Collingwood",121,75,0,0,1,46
2013,5,2013-04-26,"18:45:00","WA","Subiaco","Fremantle","Richmond",81,80,0,0,1,1
2013,5,2013-04-27,"13:45:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Gold Coast",104,148,0,0,0,-44
2013,5,2013-04-28,"16:40:00","VIC","M.C.G.","Hawthorn","North Melbourne",99,96,0,0,1,3
2013,5,2013-04-27,"19:15:00","SA","Football Park","Port Adelaide","West Coast",84,79,0,0,1,5
2013,5,2013-04-25,"19:50:00","NZL","Wellington","St Kilda","Sydney",63,79,0,0,0,-16
2013,5,2013-04-27,"19:40:00","VIC","Docklands","Western Bulldogs","Geelong",86,107,0,0,0,-21
